,country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
41,Serbia,1.6,1.8,1.7,1.7,1.6,1.8,2.4,3.0,2.7,3.0,4.0,3.3,3.0,2.4,2.4,1.6,1.6,1.5,1.5,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Slovakia,2.0,2.3,2.1,2.4,2.6,2.8,2.4,2.1,2.2,2.1,2.1,2.0,1.8,2.1,1.6,1.8,1.8,2.0,1.9,1.7,1.8,1.8,2.0,2.0,1.9,2.0,2.1,2.2,2.4,2.3,2.1,2.1,2.4,2.1,2.6,2.5,2.5,2.4,2.8,2.7,2.5,2.9,2.8,2.7,3.0,2.5,2.4,2.4,2.5,2.4,2.2,2.0,2.4,2.5,2.8,2.5,1.9,2.2,2.4,
43,Slovenia,5.3,4.1,4.6,5.3,4.9,4.7,4.1,5.5,4.8,4.8,4.5,4.6,4.1,5.4,5.2,4.2,5.5,3.9,5.1,5.8,5.1,7.5,5.3,5.3,6.1,6.1,7.6,7.9,7.8,8.0,7.6,8.4,9.9,10.8,8.6,10.1,10.0,11.5,8.9,,,,,,,,,,,,,,,,,,,,,
44,Spain,3.5,3.3,3.9,3.9,3.7,1.2,2.1,2.1,2.1,2.1,2.3,2.4,2.8,3.4,3.7,3.9,3.8,4.0,4.2,4.5,4.4,4.6,4.6,4.0,4.0,4.3,4.6,4.5,5.1,5.1,5.3,5.6,6.5,6.7,6.9,6.9,8.3,8.4,8.8,9.7,9.8,10.6,9.8,10.8,11.6,11.7,11.4,10.2,9.2,9.4,9.5,9.4,9.3,10.1,9.5,9.5,9.8,10.5,,
45,Sweden,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.4,3.5,3.4,3.3,3.1,3.0,2.9,2.7,2.7,2.7,2.6,2.4,2.2,2.0,2.0,2.0,1.8,1.7,1.8,1.7,1.7,1.7,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.1,1.1,1.0,1.1,1.0,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.6,
46,Switzerland,4.3,4.2,4.2,4.3,4.6,4.6,4.7,4.7,4.8,4.9,4.8,5.0,5.1,5.0,5.1,5.3,5.4,5.5,5.7,5.8,5.8,5.7,5.8,5.8,5.8,6.0,6.2,6.2,6.4,6.5,7.1,7.2,7.2,7.0,7.2,7.3,7.1,7.3,7.3,7.1,6.9,6.9,6.8,6.6,6.8,7.2,7.3,7.0,6.6,6.6,6.5,6.2,6.3,6.2,,,,,,
47,Tajikistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Turkey,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
49,Turkmenistan,1.3,1.3,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.3,0.6,0.7,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.5,1.5,1.4,1.6,1.3,1.0,1.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ukraine,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.5,0.6,0.8,0.8,1.0,0.9,0.9,1.0,1.8,2.2,2.3,2.4,2.5,2.4,,,,,2.4,,,,,,,,,,,,,,,
